Gene name,number of CPs,RSS,nCP-penalized RSS,R squared
RIOK1,5,0.0354847645979121,0.567756233566593,0.915528364345746
ID4,4,0.0583864132188162,0.525477718969346,0.894187536503267
CDKN1A,3,0.107141554626426,0.428566218505706,0.96325214178883
C6orf141,4,0.188664187545315,1.69797768790784,0.934385813559645
TNFAIP3,4,0.0942421689419532,0.848179520477579,0.904287587510739
STX11,2,0.0554635581691087,0.0554635581691087,0.969516854932098
SERPINB9,3,0.0782563780712226,0.313025512284891,0.988347417189781
PXDC1,3,0.155668825827527,0.622675303310106,0.899920089256219
AKIRIN2,2,0.0194313034286073,0.0194313034286073,0.963588738876556
CTGF,3,0.0773861965266966,0.309544786106786,0.959278720590682
UPP1,2,0.0896231202380168,0.0896231202380168,0.961740693588883
NPTX2,3,0.166908873313043,0.667635493252172,0.868910393400168
IFRD1,4,0.439703017754866,3.95732715979379,0.860842239075548
ZYX,3,0.00759924997912305,0.0303969999164922,0.993283883990649
INSIG1,3,0.11716798234628,0.468671929385122,0.899585158261145
EN2,3,0.291769666373181,1.16707866549272,0.901363429774137
SBDS,4,0.0437428960734346,0.393686064660911,0.882141119556755
CACNA2D1,2,0.0608026962656983,0.0608026962656983,0.912891991941325
ABCB1,2,0.212162163756429,0.212162163756429,0.922576939584312
TFPI2,3,3.0267092433272,12.1068369733088,0.939394720244564
PDK4,3,0.175703929058639,0.702815716234555,0.915154326477518
VGF,3,0.0694097810011579,0.277639124004632,0.95801727604838
PNPLA8,4,0.078221792607008,0.703996133463072,0.922248957467765
FAM3C,3,0.0460248441656243,0.184099376662497,0.935727106420301
HIPK2,4,0.00865642524021225,0.0779078271619103,0.981488847612128
AGPAT5,2,0.0796411857924412,0.0796411857924412,0.853984661167237
UBXN8,4,0.0293055416040681,0.263749874436613,0.948162821456002
MAK16,4,0.121441241930292,1.09297117737263,0.86963002821878
CA2,3,0.0624786133296873,0.249914453318749,0.948778731465275
TRIB1,3,0.162526403494649,0.650105613978596,0.947672445814744
LY6K,3,0.0472100838925006,0.188840335570003,0.979812897114936
EGR3,3,1.3948158646838,5.5792634587352,0.905749800667496
TNFRSF10D,4,0.0583966381149692,0.525569743034722,0.894926902690643
CLU,3,0.0981081773000796,0.392432709200318,0.956526128957871
RNF122,3,0.021087986795387,0.0843519471815481,0.989609546178929
PLAT,3,0.0368786288663875,0.14751451546555,0.945019441280038
CA8,4,0.0512527992719401,0.461275193447461,0.946935247012941
GEM,3,0.0379776420518563,0.151910568207425,0.990826837813898
CCNE2,4,0.0838923163633959,0.755030847270563,0.890521667609802
RNF19A,5,0.0473095336154187,0.756952537846698,0.953641020275357
KLF10,3,0.17418274805471,0.696730992218839,0.919799084960568
FBXO32,3,0.122659572310181,0.490638289240724,0.935000841313481
NDRG1,3,0.0563497322395122,0.225398928958049,0.954693435751656
ARC,3,0.232091053157458,0.928364212629831,0.960141408831074
DNAJA1,,,,
TOR1B,3,0.0701289871472473,0.280515948588989,0.90727496536407
KIAA0020,3,0.106573613839134,0.426294455356535,0.920126211673954
TMEM2,3,0.139122189399195,0.556488757596782,0.924237394964759
TNC,3,0.130953853264642,0.523815413058569,0.881540044372384
NRARP,3,0.168995314398823,0.675981257595291,0.957768012293483
SYAP1,3,0.0251978869292994,0.100791547717198,0.936274389617989
