Gene name,number of CPs,RSS,nCP-penalized RSS,R squared
PLOD1,3,0.730408183562246,2.92163273424899,0.931250392244756
OXCT1,3,1.65720587427097,6.62882349708387,0.830856518255113
CYLD,2,1.19282424421169,1.19282424421169,0.818928715916561
SLC27A5,2,1.52086255133047,1.52086255133047,0.750111320500086
PPIE,3,0.701736566316681,2.80694626526673,0.763763231388789
STARD7,4,1.88717024136623,16.9845321722961,0.80775775025827
HAL,4,3.41461232414717,30.7315109173245,0.827733370350051
GSTP1,3,0.542389387256736,2.16955754902694,0.908942706525835
SLCO1A2,,,,
APOB,,,,
NCOA1,,,,
HADHA,3,0.710200063837543,2.84080025535017,0.826077101469523
CAD,,,,
PREP,,,,
HACE1,,,,
MAP3K4,,,,
ABCB1,,,,
AKR1B1,4,0.679701692863484,6.11731523577136,0.89806650982842
MGST2,4,0.749475935450014,6.74528341905013,0.957816509052043
USP40,4,0.988172634552526,8.89355371097273,0.864228138938759
POMGNT1,,,,
MAST2,,,,
B4GALT1,4,0.135986757143784,1.22388081429405,0.947799284646956
AQP6,4,0.625462258146062,5.62916032331456,0.879946889228206
EIF2AK1,4,0.495880495075112,4.462924455676,0.872709005526691
SEPHS1,3,0.556435127429897,2.22574050971959,0.872526294518017
ITPKC,2,0.977413145069771,0.977413145069771,0.912004199938376
HSD17B2,3,2.37612574067479,9.50450296269918,0.903112017404809
PPEF1,,,,
HUWE1,4,0.310048880402382,2.79043992362144,0.847421805798197
ALG9,3,1.8063774826901,7.22550993076041,0.759111125586177
ACOX3,4,0.57892220973396,5.21029988760564,0.896097831118956
MTMR2,,,,
HSD17B14,2,0.987919518580128,0.987919518580128,0.76202091933986
NLK,4,0.288425330276955,2.59582797249259,0.875498681560891
PIGS,4,0.767463533536792,6.90717180183113,0.93723498372695
PGS1,,,,
LPCAT2,4,0.348472216996729,3.13624995297056,0.853110704765121
L2HGDH,4,1.18943506148131,10.7049155533318,0.841104525000429
DNM1L,3,0.534353960766632,2.13741584306653,0.76306393657616
AURKA,3,0.866870447461014,3.46748178984406,0.967706244953348
SULT2B1,3,0.578625496132173,2.31450198452869,0.896598247939367
ALG6,4,1.02289936307854,9.20609426770683,0.877930832321247
PTPN4,4,0.670965946944883,6.03869352250395,0.862955480617609
DNMT3B,3,1.83004165542063,7.32016662168253,0.802705685299755
SLC15A1,3,2.60793836926271,10.4317534770508,0.792773075380551
TGDS,3,0.455651233440229,1.82260493376091,0.7964547512684
CRLS1,3,0.597696645961283,2.39078658384513,0.822006579313151
SMOX,4,0.44190834903498,3.97717514131482,0.942676385982505
FKBP1A,4,0.381256403718872,3.43130763346985,0.837073745953605
MAPKAPK5,4,0.343407472195205,3.09066724975684,0.802160638084054
SLC8B1,,,,
NOS1,3,0.611274909495349,2.4450996379814,0.762554654588826
HEPH,4,0.986716614893665,8.88044953404298,0.951201173887314
GANAB,3,0.908742083979388,3.63496833591755,0.841371703506
SLC9A1,3,0.403908456992505,1.61563382797002,0.870865759518225
SPTLC1,4,0.286480100474883,2.57832090427395,0.819350144664809
NDUFB2,,,,
IRAK3,4,0.722077644129977,6.49869879716979,0.905934877185956
SI,,,,
MUL1,3,0.494036198871801,1.9761447954872,0.830051491971166
CERS4,3,2.07069430709245,8.28277722836982,0.847979669316726
USP48,4,0.431065049402023,3.87958544461821,0.868798194876826
PDPR,3,1.44148039275625,5.765921571025,0.818929526170072
AARS1,,,,
NAT14,4,1.37996653406281,12.4196988065653,0.835445742155088
SLC26A4,4,0.682236334677961,6.14012701210165,0.836834314493074
SLC26A3,,,,
DLD,4,0.914610632937847,8.23149569644062,0.829564824924197
MAP3K20,4,0.217425750286264,1.95683175257638,0.94177866418483
FH,3,1.05938414154946,4.23753656619782,0.758604823067465
CMA1,,,,
SLC7A8,4,1.06998187814428,9.6298369032985,0.761534635311732
RNF31,4,1.21966013608734,10.976941224786,0.864178199277332
HECTD1,2,0.692290032726326,0.692290032726326,0.904594931339146
TGM1,,,,
TRPM7,4,0.570583031855141,5.13524728669627,0.827885264472789
TYRO3,4,0.534568137801535,4.81111324021381,0.842230052808968
CAPN3,4,1.4653501591413,13.1881514322717,0.83042797012743
PHGDH,2,0.460912997402277,0.460912997402277,0.916626608036644
DPYSL2,3,1.95869618432356,7.83478473729424,0.795243879243626
COMT,3,0.142230681599835,0.568922726399339,0.945024956004192
ADA2,,,,
VNN3P,,,,
XYLB,3,1.2511695386276,5.00467815451039,0.855057488514243
