Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0019432~triglyceride biosynthetic process	6	0.7425742574257426	0.0010724770030720477	GNPAT, ACSL1, GPAT4, PNPLA3, GPAT2, LPIN3	799	20	19416	7.290112640801	0.9762361087659254	0.04360410192119264	0.042377932053681344
GOTERM_BP_DIRECT	GO:0018345~protein palmitoylation	6	0.7425742574257426	0.0010724770030720477	ZDHHC20, ZDHHC12, ZDHHC23, ZDHHC21, ZDHHC1, ZDHHC3	799	20	19416	7.290112640801	0.9762361087659254	0.04360410192119264	0.042377932053681344
GOTERM_BP_DIRECT	GO:0097267~omega-hydroxylase P450 pathway	5	0.6188118811881188	0.0010760266184282833	CYP2C9, CYP2U1, CYP4F3, CYP4A11, CYP2C19	799	12	19416	10.125156445556946	0.9765285792954285	0.04360410192119264	0.042377932053681344
GOTERM_BP_DIRECT	GO:0009313~oligosaccharide catabolic process	5	0.6188118811881188	0.0010760266184282833	MANBA, GM2A, MAN2B2, MAN2B1, MAN2C1	799	12	19416	10.125156445556946	0.9765285792954285	0.04360410192119264	0.042377932053681344
GOTERM_BP_DIRECT	GO:0016255~attachment of GPI anchor to protein	4	0.49504950495049505	0.001260183257929603	PIGS, PGAP1, GPAA1, PIGK	799	6	19416	16.200250312891114	0.9876550496569947	0.050479754642352485	0.049060237869052475
GOTERM_BP_DIRECT	GO:0000165~MAPK cascade	14	1.7326732673267329	0.0013196451661873954	MAP3K2, MAP3K3, MAP3K1, PPM1L, LRRK2, DUSP19, ITPKB, MAP3K21, STUB1, CD36, MAP4K5, MAP3K7, MAP3K11, MAP3K5	799	120	19416	2.8350438047559448	0.9899682536185113	0.052260947774580374	0.05079134293041714
GOTERM_BP_DIRECT	GO:0018107~peptidyl-threonine phosphorylation	8	0.9900990099009901	0.0014810887648558687	CAMK2D, STK11, CDK5, LRRK2, PRKD2, PRKCA, PRKD1, NLK	799	42	19416	4.628642946540318	0.9942893390766557	0.05697115953301651	0.055369101101385064
GOTERM_BP_DIRECT	GO:0042594~response to starvation	8	0.9900990099009901	0.0014810887648558687	GNPAT, CPS1, ULK3, ULK2, GPT, ACADM, HMGCS2, TRIM32	799	42	19416	4.628642946540318	0.9942893390766557	0.05697115953301651	0.055369101101385064
GOTERM_BP_DIRECT	GO:0070585~protein localization to mitochondrion	5	0.6188118811881188	0.0015039732215315694	PRKN, LRRK2, EIF2AK1, FKBP8, MARCHF5	799	13	19416	9.346298257437182	0.9947277183311568	0.05697115953301651	0.055369101101385064
GOTERM_BP_DIRECT	GO:0070837~dehydroascorbic acid transport	5	0.6188118811881188	0.0015039732215315694	SLC2A14, SLC2A11, SLC23A1, SLC2A6, SLC2A8	799	13	19416	9.346298257437182	0.9947277183311568	0.05697115953301651	0.055369101101385064
GOTERM_BP_DIRECT	GO:0015908~fatty acid transport	7	0.8663366336633664	0.0017151142385915346	SLC27A1, ACSL1, FABP7, CD36, CROT, SLC27A3, SLC27A2	799	32	19416	5.315707133917397	0.9974769953272286	0.06427067872571504	0.06246335404418847
GOTERM_BP_DIRECT	GO:0070936~protein K48-linked ubiquitination	12	1.4851485148514851	0.0019333588339514552	RNF146, PRKN, ZNRF1, UBE2D4, AMFR, TTC3, MYCBP2, RNF8, HUWE1, UBE2E2, TRIM32, RNF152	799	96	19416	3.037546933667084	0.9988224004511174	0.07167825038639172	0.06966262096376148
GOTERM_BP_DIRECT	GO:0009060~aerobic respiration	10	1.2376237623762376	0.0019906848539628223	UQCRB, NDUFB10, NDUFB5, NDUFB11, CAT, NDUFS2, NDUFB1, NDUFV2, SLC25A14, SIRT3	799	69	19416	3.521793546280677	0.9990360307078532	0.07302670227432037	0.07097315368812715
GOTERM_BP_DIRECT	GO:0016126~sterol biosynthetic process	5	0.6188118811881188	0.0020375379196354354	CYB5R1, EBP, SC5D, MVD, HMGCR	799	14	19416	8.678705524763098	0.9991815216285447	0.07304869588305077	0.07099452882522037
GOTERM_BP_DIRECT	GO:0006656~phosphatidylcholine biosynthetic process	6	0.7425742574257426	0.002101535293694019	SLC44A5, SLC27A1, SLC44A3, SLC44A1, SLC44A2, GPAT4	799	23	19416	6.339228383305218	0.9993454463221846	0.07304869588305077	0.07099452882522037
GOTERM_BP_DIRECT	GO:0016098~monoterpenoid metabolic process	4	0.49504950495049505	0.0021380106112112423	CYP2C9, CYP2E1, CYP2C19, CYP3A4	799	7	19416	13.885928839620956	0.9994237353117184	0.07304869588305077	0.07099452882522037
GOTERM_BP_DIRECT	GO:0006066~alcohol metabolic process	4	0.49504950495049505	0.0021380106112112423	ALDH3B2, ALDH3B1, ADH7, DHRS4	799	7	19416	13.885928839620956	0.9994237353117184	0.07304869588305077	0.07099452882522037
GOTERM_BP_DIRECT	GO:0002933~lipid hydroxylation	4	0.49504950495049505	0.0021380106112112423	CYP2E1, CYP3A4, CYP3A5, CYP3A7	799	7	19416	13.885928839620956	0.9994237353117184	0.07304869588305077	0.07099452882522037
GOTERM_BP_DIRECT	GO:0006548~L-histidine catabolic process	4	0.49504950495049505	0.0021380106112112423	HAL, AMDHD1, CARNS1, HNMT	799	7	19416	13.885928839620956	0.9994237353117184	0.07304869588305077	0.07099452882522037
GOTERM_BP_DIRECT	GO:0009404~toxin metabolic process	4	0.49504950495049505	0.0021380106112112423	N6AMT1, FMO1, FMO2, FMO4	799	7	19416	13.885928839620956	0.9994237353117184	0.07304869588305077	0.07099452882522037
GOTERM_BP_DIRECT	GO:0051865~protein autoubiquitination	10	1.2376237623762376	0.0024326745876990354	RNF146, PRKN, SH3RF2, AMFR, RNF8, STUB1, RCHY1, RNF133, MARCHF5, RAG1	799	71	19416	3.4225880942727707	0.9997941164093936	0.08230942658379745	0.07999484299550129
GOTERM_BP_DIRECT	GO:0048013~ephrin receptor signaling pathway	11	1.3613861386138615	0.002511643168799898	EPHB6, DDR1, EPHA5, ALK, EPHA4, INSR, ERBB2, KIT, TYRO3, EPHA1, IGF1R	799	85	19416	3.1447544725023926	0.9998437552994126	0.08349972398647863	0.08115166862043133
GOTERM_BP_DIRECT	GO:1902600~proton transmembrane transport	17	2.103960396039604	0.0025157736064792702	SLC47A2, SLC15A2, SLC36A2, NDUFB10, NDUFB5, NDUFA4, COX4I1, SLC11A1, NDUFB1, COX6B1, SLC25A27, SLC9A2, SLC9A9, NDUFS2, SLC15A3, NDUFV2, SLC25A14	799	176	19416	2.3471953578336553	0.9998459938523321	0.08349972398647863	0.08115166862043133
GOTERM_BP_DIRECT	GO:0006091~generation of precursor metabolites and energy	8	0.9900990099009901	0.002549661820445307	ACOX1, TREX1, COX4I1, FDXR, PHKB, ACO2, CROT, COX6C	799	46	19416	4.226152255536812	0.9998631901204768	0.08382614570048957	0.0814689111872477
GOTERM_BP_DIRECT	GO:0010506~regulation of autophagy	10	1.2376237623762376	0.0026810920647768804	ACER2, PRKN, DAPK1, USP33, LRRK2, PSAP, ULK3, ULK2, PIK3R2, MAPK15	799	72	19416	3.3750521485189817	0.9999135681065123	0.08596854775439454	0.08355106778884773
GOTERM_BP_DIRECT	GO:0006068~ethanol catabolic process	5	0.6188118811881188	0.002688829757597993	ALDH3B2, ACSS2, ALDH3B1, ADH7, ACSS1	799	15	19416	8.100125156445557	0.9999158737801249	0.08596854775439454	0.08355106778884773
GOTERM_BP_DIRECT	GO:0006750~glutathione biosynthetic process	5	0.6188118811881188	0.002688829757597993	GGT7, GGT6, MGST2, HAGH, GGT1	799	15	19416	8.100125156445557	0.9999158737801249	0.08596854775439454	0.08355106778884773
GOTERM_BP_DIRECT	GO:0007584~response to nutrient	9	1.1138613861386137	0.0030346682261260427	ARSA, GNPAT, TFRC, ACSL1, BCKDHB, HMGCS2, MLYCD, PPARA, ACACB	799	60	19416	3.6450563204005006	0.999974881309756	0.09614380698226599	0.09344019347171732
GOTERM_BP_DIRECT	GO:0019367~fatty acid elongation, saturated fatty acid	4	0.49504950495049505	0.003316630307943926	ELOVL2, ELOVL3, ELOVL6, HSD17B12	799	8	19416	12.150187734668336	0.9999906269000046	0.10320050556414806	0.10029845404469712
GOTERM_BP_DIRECT	GO:0046949~fatty-acyl-CoA biosynthetic process	4	0.49504950495049505	0.003316630307943926	FASN, PPT2, SLC27A2, CBR4	799	8	19416	12.150187734668336	0.9999906269000046	0.10320050556414806	0.10029845404469712
GOTERM_BP_DIRECT	GO:0002755~MyD88-dependent toll-like receptor signaling pathway	5	0.6188118811881188	0.0034696263162283473	IKBKB, BTK, IRAK3, IRAK4, MAP3K7	799	16	19416	7.59386733416771	0.9999945104985065	0.10606708519347184	0.103084423974258
GOTERM_BP_DIRECT	GO:0008645~hexose transmembrane transport	5	0.6188118811881188	0.0034696263162283473	SLC5A9, SLC2A11, SLC2A12, SLC2A6, SLC2A8	799	16	19416	7.59386733416771	0.9999945104985065	0.10606708519347184	0.103084423974258
GOTERM_BP_DIRECT	GO:0014070~response to organic cyclic compound	9	1.1138613861386137	0.003732677605039189	KAT2A, ABCD3, POLR2A, ACSL1, SLC10A1, CTSK, EPHX1, PPARA, ACACB	799	62	19416	3.527473858452097	0.999997812431894	0.11311636046575282	0.1099354699849368
GOTERM_BP_DIRECT	GO:0043491~phosphatidylinositol 3-kinase/protein kinase B signal transduction	10	1.2376237623762376	0.003882007353839092	ERBB3, ERBB2, TYRO3, PIK3R3, PIK3CD, PIK3R2, PIK3C2G, LRP2, PIK3C2B, IGF1R	799	76	19416	3.19741782491272	0.9999987025674765	0.11662754851835548	0.11334792161597418
GOTERM_BP_DIRECT	GO:0070542~response to fatty acid	5	0.6188118811881188	0.004391275849756308	ALAD, GNPAT, SCD, CAT, CD36	799	17	19416	7.147169255687256	0.9999997816783026	0.12860164988572045	0.12498530506827407
GOTERM_BP_DIRECT	GO:0015718~monocarboxylic acid transport	5	0.6188118811881188	0.004391275849756308	SLC6A13, SLC6A11, SLC16A10, SLC16A5, SLC16A13	799	17	19416	7.147169255687256	0.9999997816783026	0.12860164988572045	0.12498530506827407
GOTERM_BP_DIRECT	GO:0009395~phospholipid catabolic process	5	0.6188118811881188	0.004391275849756308	ABHD12, ABHD6, PLCG1, PLD1, PLD2	799	17	19416	7.147169255687256	0.9999997816783026	0.12860164988572045	0.12498530506827407
GOTERM_BP_DIRECT	GO:0019674~NAD metabolic process	4	0.49504950495049505	0.004823750974230231	NADK2, NMRK1, QPRT, NADK	799	9	19416	10.800166875260743	0.999999951970407	0.13509771542004537	0.1312986978845606
GOTERM_BP_DIRECT	GO:0070989~oxidative demethylation	4	0.49504950495049505	0.004823750974230231	CYP2C9, CYP3A4, CYP3A5, CYP3A7	799	9	19416	10.800166875260743	0.999999951970407	0.13509771542004537	0.1312986978845606
