ID_REF,SYMBOL,cluster,UT_1,UT_3,T1h_CYHX_1h,T2h_CYHX_2h,T4h_CYHX_4h
7924977,PGBD5,SRG,-0.0745938699999993,0.0745938700000011,-0.137276391,-0.206673286999999,-0.0419219359999996
7925611,TFB2M,DEG,0.0566913740000015,-0.0566913739999997,0.102273522000001,0.341325732000001,0.895341532000002
7926531,ARL5B,DEG,0.0635191450000008,-0.063519144999999,-0.00793310499999933,0.299000745000001,0.506480015000001
7927936,DDX21,DEG,0.00694981000000006,-0.00694981000000006,-0.11926403,0.118568009999999,0.332098719999999
7928551,RPS24,SRG,-0.22394924,0.22394924,-0.2224547,-0.21212807,-0.14952171
7933872,EGR2,IEG,-0.172200373499999,0.172200373500001,2.1483956305,3.8465096505,4.0369785905
7936856,CHST15,SRG,-0.0351200555000002,0.0351200555000002,-0.136851438499999,-0.338977272499999,-0.231047393499999
7939341,CD44,SRG,0.0251560155000004,-0.0251560155000004,0.0485601985000006,0.0489877844999995,-0.0387297284999999
7941460,DRAP1,SRG,-0.484895965,0.484895965,-0.604524065,-0.657649765,-0.767412995000001
7941694,RBM14,IEG,-0.257123479999999,0.257123480000001,0.33289491,0.433363160000001,0.676771690000001
7945781,PHLDA2,SRG,-0.0498523915,0.0498523915,0.0593143704999992,0.1446735705,0.279484673499999
7946292,CYB5R2,SRG,-0.0374667019999997,0.0374667020000006,0.138405281000001,-0.0439443109999997,0.339081393000001
7947649,CHRM4,SRG,-0.187643625,0.187643625,0.0530042489999989,0.154057985,0.288907569999999
7948839,NXF1,ILG,-0.0656119999999998,0.0656119999999998,0.151163720000001,0.301397140000001,0.48956622
7949532,FOSL1,ILG,-0.0304747734999999,0.0304747734999999,0.249721993500001,0.5524308275,0.7020700545
7954090,EMP1,SRG,0.00643980749999962,-0.00643980749999962,0.1532054155,0.2938305785,0.4540172855
7955589,NR4A1,ILG,-0.0617280569999998,0.0617280569999998,0.526317666999999,1.116339885,1.084862495
7956287,NAB2,SRG,-0.0536425479999991,0.0536425480000009,0.0195967100000001,-0.0608765529999999,-0.0568554099999989
7960134,ZNF26,DEG,0.0778095580000002,-0.0778095580000002,0.077467844000001,0.422770983000001,0.688048863000001
7963567,KRT8,DEG,-0.140983425000002,0.140983425,0.399498475,0.328528224999999,0.238760334999998
7965335,DUSP6,ILG,-0.010738173,0.010738173,1.07653355,1.438519252,1.111965188
7970810,SLC7A1,SRG,0.151918525000001,-0.151918524999999,-0.157233255,-0.124168364999999,-0.145002544999999
7972217,SPRY2,DEG,0.041386769999999,-0.0413867700000008,0.433581199999999,0.543726739999999,0.508301529999999
7972713,EFNB2,DEG,0.102943124499999,-0.102943124499999,0.0447309765000004,0.441594628500001,0.7423047685
7973067,PNP,ILG,-0.17586208,0.17586208,-0.111130259999999,0.0788300500000005,0.229508220000001
7975779,FOS,IEG,0.1100628895,-0.1100628895,3.3330647075,4.3783898375,4.1811095575
7979108,TRIM9,SRG,0.0679095580000002,-0.0679095580000002,0.0584339519999997,0.129665063000001,0.215436974000001
7979269,GCH1,SRG,-0.0533783440000004,0.0533783440000004,-0.0742903500000001,-0.063952415000001,0.0479619889999991
